Model,FPR,TPR
Logistic Regression,0.26621490803484993,0.7754010695187166
Logistic Regression,0.2700871248789932,0.7754010695187166
Logistic Regression,0.2700871248789932,0.7780748663101604
Logistic Regression,0.271055179090029,0.7780748663101604
Logistic Regression,0.271055179090029,0.7807486631016043
Logistic Regression,0.27202323330106487,0.7807486631016043
Logistic Regression,0.27202323330106487,0.786096256684492
Logistic Regression,0.27686350435624396,0.786096256684492
Logistic Regression,0.27686350435624396,0.7887700534759359
Logistic Regression,0.2855759922555663,0.7887700534759359
Logistic Regression,0.2855759922555663,0.7967914438502673
Logistic Regression,0.30396902226524686,0.7967914438502673
Logistic Regression,0.30396902226524686,0.8021390374331551
Logistic Regression,0.3059051306873185,0.8021390374331551
Logistic Regression,0.3059051306873185,0.8048128342245989
Logistic Regression,0.30880929332042595,0.8048128342245989
Logistic Regression,0.30880929332042595,0.8074866310160428
Logistic Regression,0.31268151016456924,0.8074866310160428
Logistic Regression,0.31268151016456924,0.8155080213903744
Logistic Regression,0.32720232333010646,0.8155080213903744
Logistic Regression,0.32720232333010646,0.8181818181818182
Logistic Regression,0.33107454017424975,0.8181818181818182
Logistic Regression,0.33107454017424975,0.820855614973262
Logistic Regression,0.33204259438528555,0.820855614973262
Logistic Regression,0.33204259438528555,0.8262032085561497
Logistic Regression,0.3339787028073572,0.8262032085561497
Logistic Regression,0.3339787028073572,0.8288770053475936
Logistic Regression,0.3378509196515005,0.8288770053475936
Logistic Regression,0.3388189738625363,0.8315508021390374
Logistic Regression,0.3388189738625363,0.8342245989304813
Logistic Regression,0.33978702807357214,0.8342245989304813
Logistic Regression,0.33978702807357214,0.839572192513369
Logistic Regression,0.34075508228460794,0.839572192513369
Logistic Regression,0.34075508228460794,0.8422459893048129
Logistic Regression,0.34172313649564373,0.8422459893048129
Logistic Regression,0.34172313649564373,0.8449197860962567
Logistic Regression,0.3436592449177154,0.8449197860962567
Logistic Regression,0.3436592449177154,0.8475935828877005
Logistic Regression,0.345595353339787,0.8475935828877005
Logistic Regression,0.345595353339787,0.8502673796791443
Logistic Regression,0.3514036786060019,0.8502673796791443
Logistic Regression,0.3514036786060019,0.8529411764705882
Logistic Regression,0.35721200387221685,0.8529411764705882
Logistic Regression,0.35721200387221685,0.8556149732620321
Logistic Regression,0.3697967086156825,0.8556149732620321
Logistic Regression,0.3697967086156825,0.8609625668449198
Logistic Regression,0.3765730880929332,0.8609625668449198
Logistic Regression,0.3765730880929332,0.8663101604278075
Logistic Regression,0.377541142303969,0.8663101604278075
Logistic Regression,0.377541142303969,0.8689839572192514
Logistic Regression,0.38431752178121975,0.8689839572192514
Logistic Regression,0.38431752178121975,0.8716577540106952
Logistic Regression,0.38818973862536305,0.8716577540106952
Logistic Regression,0.38818973862536305,0.8743315508021391
Logistic Regression,0.39012584704743464,0.8743315508021391
Logistic Regression,0.39012584704743464,0.8770053475935828
Logistic Regression,0.3978702807357212,0.8770053475935828
Logistic Regression,0.3978702807357212,0.8796791443850267
Logistic Regression,0.4046466602129719,0.8796791443850267
Logistic Regression,0.4046466602129719,0.8823529411764706
Logistic Regression,0.40658276863504356,0.8823529411764706
Logistic Regression,0.40658276863504356,0.8903743315508021
Logistic Regression,0.41529525653436594,0.8903743315508021
Logistic Regression,0.41529525653436594,0.8957219251336899
Logistic Regression,0.41626331074540174,0.8957219251336899
Logistic Regression,0.41626331074540174,0.8983957219251337
Logistic Regression,0.4220716360116166,0.8983957219251337
Logistic Regression,0.4220716360116166,0.9010695187165776
Logistic Regression,0.43368828654404645,0.9010695187165776
Logistic Regression,0.43368828654404645,0.9037433155080213
Logistic Regression,0.43852855759922554,0.9037433155080213
Logistic Regression,0.43852855759922554,0.9117647058823529
Logistic Regression,0.4394966118102614,0.9117647058823529
Logistic Regression,0.4394966118102614,0.9144385026737968
Logistic Regression,0.4404646660212972,0.9144385026737968
Logistic Regression,0.4404646660212972,0.9171122994652406
Logistic Regression,0.44240077444336884,0.9171122994652406
Logistic Regression,0.44240077444336884,0.9224598930481284
Logistic Regression,0.4453049370764763,0.9224598930481284
Logistic Regression,0.4453049370764763,0.9251336898395722
Logistic Regression,0.4530493707647628,0.9251336898395722
Logistic Regression,0.4530493707647628,0.9278074866310161
Logistic Regression,0.4569215876089061,0.9278074866310161
Logistic Regression,0.4569215876089061,0.93048128342246
Logistic Regression,0.4724104549854792,0.93048128342246
Logistic Regression,0.4724104549854792,0.9331550802139037
Logistic Regression,0.48693126815101645,0.9331550802139037
Logistic Regression,0.48693126815101645,0.9358288770053476
Logistic Regression,0.49177153920619554,0.9358288770053476
Logistic Regression,0.49177153920619554,0.9385026737967914
Logistic Regression,0.494675701839303,0.9385026737967914
Logistic Regression,0.494675701839303,0.9411764705882353
Logistic Regression,0.5091965150048403,0.9411764705882353
Logistic Regression,0.5091965150048403,0.9438502673796791
Logistic Regression,0.515972894482091,0.9438502673796791
Logistic Regression,0.515972894482091,0.946524064171123
Logistic Regression,0.5217812197483059,0.946524064171123
Logistic Regression,0.5217812197483059,0.9491978609625669
Logistic Regression,0.5275895450145208,0.9491978609625669
Logistic Regression,0.5275895450145208,0.9518716577540107
Logistic Regression,0.5353339787028074,0.9518716577540107
Logistic Regression,0.5353339787028074,0.9545454545454546
Logistic Regression,0.5411423039690223,0.9545454545454546
Logistic Regression,0.5411423039690223,0.9572192513368984
Logistic Regression,0.5566311713455954,0.9572192513368984
